step,pg_force_abs_mean,mirror_force_abs_mean,mirror_to_pg_force_ratio,seq_log_ratio_abs_mean,preclip_grad_norm
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0068359375,0.05727400339128508,8.378368494870923,1.9091334864497185,148.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0341796875,0.03727565671488264,1.0905792135692307,1.2425219230353832,12.8125
7,0.0576171875,0.054211614460655255,0.9408931051991103,1.807053854689002,36.5
8,0.1533203125,0.05955572618404403,0.3884398956182377,1.985190911218524,32.5
9,0.162109375,0.04376152671466116,0.26995062262371444,1.4587175864726305,19.625
10,0.23828125,0.06114791262552899,0.2566207480667168,2.0382638052105904,27.625
11,0.291015625,0.05391862768192368,0.18527743203389305,1.7972876373678446,43.5
12,0.25390625,0.05695607772298672,0.2243193214927258,1.8985359743237495,35.25
13,0.2412109375,0.053294805292352976,0.22094688509774574,1.7764935404993594,41.75
14,0.22265625,0.08202695224827039,0.3684017504467177,2.7342318035662174,112.5
15,0.20703125,0.07385554717984633,0.3567362278858365,2.4618516308255494,35.5
16,0.2001953125,0.08111869978529285,0.4051977979498778,2.7039567213505507,41.75
17,0.21875,0.08128987680902355,0.3716108654109803,2.7096626311540604,37.0
18,0.2724609375,0.10652361094253138,0.39096837851165517,3.5507871164008975,64.5
19,0.1982421875,0.07282293394837325,0.36734327272294603,2.42743119597435,32.75
20,0.146484375,0.08637902616737847,0.5896808186319448,2.879300957545638,111.5
21,0.2314453125,0.0931555773877335,0.4024949841545441,3.105185974854976,51.5
22,0.2470703125,0.09786960137171263,0.3961204419139451,3.262320081703365,55.25
23,0.177734375,0.10667003610251413,0.6001654778481313,3.5556679274886847,66.5
24,0.201171875,0.08771187592719798,0.43600466480099154,2.9237292734906077,57.5
25,0.212890625,0.09021131196186616,0.42374487820420653,3.0070438096299767,43.0
26,0.2509765625,0.09999418348888867,0.39842040424986,3.333139523398131,58.5
27,0.2177734375,0.07905226100047003,0.36300231060138827,2.6350754206068814,44.0
28,0.2041015625,0.10020587847338902,0.49096085912080195,3.340196025557816,73.0
29,0.1787109375,0.08227729341888335,0.4603931609861481,2.7425764887593687,37.0
30,0.2041015625,0.07950867375620874,0.3895544589758796,2.650289204902947,40.5
31,0.1513671875,0.08608585887850495,0.5687220612323013,2.869528704788536,62.25
32,0.21875,0.10373529545893234,0.47421849352438,3.4578432515263557,80.0
33,0.2119140625,0.08817236501818115,0.41607604506079005,2.939078915398568,47.25
34,0.1962890625,0.09519622308835096,0.48497976339290927,3.1732075046747923,51.75
35,0.267578125,0.08794995270727668,0.32868887435005384,2.9316651541739702,45.5
36,0.2265625,0.09683932977895893,0.42742876591903556,3.2279777177609503,43.25
37,0.20703125,0.09687629990548885,0.4679308070884029,3.2292100563645363,50.5
38,0.1640625,0.09428147222024563,0.5746680211484706,3.1427157931029797,55.5
39,0.1513671875,0.08259767877916602,0.5456775681890789,2.7532559987157583,42.25
40,0.201171875,0.11006721437206579,0.5471302306623064,3.668907232582569,90.0
41,0.2333984375,0.10861771892268735,0.4653746618257544,3.6205906998366117,71.0
42,0.2294921875,0.11430585180096386,0.4980816691220296,3.810195129364729,69.0
